"PartID" "Trial" "Length" "VerbType" "Item" "Age" "Gender" "Distractor" "Subject" "Agent" "Patient" "LC" "LCC" "PC" "PCC"
"SPA_P19_L2R1" 3 "Long" "Pred" 2 21 "M" 0 1 0 1 0.5 0.5 0.5 0.5
"SPA_P19_L2R1" 4 "Long" "Pred" 9 21 "M" 0 0 0 1 0.5 0.5 0.5 0.5
"SPA_P19_L2R1" 5 "Short" "Pred" 6 21 "M" 0 0 0 1 -0.5 -0.5 0.5 0.5
"SPA_P19_L2R1" 6 "Short" "Pred" 3 21 "M" 0 1 1 0 -0.5 -0.5 0.5 0.5
"SPA_P19_L2R1" 7 "Long" "NPred" 11 21 "M" 0 0 1 0 0.5 0.5 -0.5 -0.5
"SPA_P19_L2R1" 8 "Short" "NPred" 15 21 "M" 0 0 1 0 -0.5 -0.5 -0.5 -0.5
"SPA_P19_L2R1" 9 "Short" "NPred" 5 21 "M" 0 0 1 0 -0.5 -0.5 -0.5 -0.5
"SPA_P19_L2R1" 10 "Long" "NPred" 16 21 "M" 0 0 1 0 0.5 0.5 -0.5 -0.5
"SPA_P19_L2R1" 11 "Long" "Pred" 12 21 "M" 0 1 0 0 0.5 0.5 0.5 0.5
"SPA_P19_L2R1" 12 "Long" "NPred" 10 21 "M" 0 0 1 0 0.5 0.5 -0.5 -0.5
"SPA_P2_L1R2" 1 "Long" "Pred" 6 24 "F" 0 0 0 0 0.5 0.5 0.5 0.5
"SPA_P2_L1R2" 2 "Short" "NPred" 9 24 "F" 0 0 0 0 -0.5 -0.5 -0.5 -0.5
"SPA_P2_L1R2" 3 "Long" "Pred" 3 24 "F" 0 0 0 0 0.5 0.5 0.5 0.5
"SPA_P2_L1R2" 4 "Long" "NPred" 5 24 "F" 0 0 0 0 0.5 0.5 -0.5 -0.5
"SPA_P2_L1R2" 5 "Long" "NPred" 15 24 "F" 0 0 0 0 0.5 0.5 -0.5 -0.5
"SPA_P2_L1R2" 6 "Short" "Pred" 16 24 "F" 0 0 0 0 -0.5 -0.5 0.5 0.5
"SPA_P2_L1R2" 7 "Short" "NPred" 2 24 "F" 0 0 0 0 -0.5 -0.5 -0.5 -0.5
