"PartID" "Trial" "Length" "VerbType" "Item" "Age" "Gender" "EV" "Distractor" "Subject" "Agent" "Patient" "LC" "LCC" "PC" "PCC" "AC" "EVC" "AgeGroup" "AGC" "AGCC"
"SP_P13_L1R2" 10 "Short" "Pred" 11 47 "F" 19 1 1 0 0 -0.5 -0.492921492921493 0.5 0.50965250965251 -2.68725868725869 -3.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P13_L1R2" 11 "Short" "Pred" 10 47 "F" 19 0 0 1 1 -0.5 -0.492921492921493 0.5 0.50965250965251 -2.68725868725869 -3.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P14_L2R2" 1 "Short" "NPred" 8 52 "M" 22 0 1 0 0 -0.5 -0.492921492921493 -0.5 -0.49034749034749 2.31274131274131 -0.396396396396398 "Older" 0.5 0.464607464607465
"SP_P14_L2R2" 2 "Short" "Pred" 7 52 "M" 22 0 0 0 1 -0.5 -0.492921492921493 0.5 0.50965250965251 2.31274131274131 -0.396396396396398 "Older" 0.5 0.464607464607465
"SP_P14_L2R2" 3 "Long" "Pred" 12 52 "M" 22 1 0 0 0 0.5 0.507078507078507 0.5 0.50965250965251 2.31274131274131 -0.396396396396398 "Older" 0.5 0.464607464607465
"SP_P14_L2R2" 4 "Long" "Pred" 2 52 "M" 22 0 0 1 0 0.5 0.507078507078507 0.5 0.50965250965251 2.31274131274131 -0.396396396396398 "Older" 0.5 0.464607464607465
"SP_P14_L2R2" 5 "Long" "NPred" 16 52 "M" 22 0 0 1 0 0.5 0.507078507078507 -0.5 -0.49034749034749 2.31274131274131 -0.396396396396398 "Older" 0.5 0.464607464607465
"SP_P14_L2R2" 6 "Long" "Pred" 9 52 "M" 22 0 0 1 0 0.5 0.507078507078507 0.5 0.50965250965251 2.31274131274131 -0.396396396396398 "Older" 0.5 0.464607464607465
"SP_P14_L2R2" 7 "Short" "NPred" 15 52 "M" 22 0 0 1 0 -0.5 -0.492921492921493 -0.5 -0.49034749034749 2.31274131274131 -0.396396396396398 "Older" 0.5 0.464607464607465
"SP_P14_L2R2" 8 "Long" "NPred" 10 52 "M" 22 0 0 0 1 0.5 0.507078507078507 -0.5 -0.49034749034749 2.31274131274131 -0.396396396396398 "Older" 0.5 0.464607464607465
"SP_P14_L2R2" 9 "Short" "Pred" 6 52 "M" 22 1 0 0 0 -0.5 -0.492921492921493 0.5 0.50965250965251 2.31274131274131 -0.396396396396398 "Older" 0.5 0.464607464607465
"SP_P14_L2R2" 10 "Long" "NPred" 11 52 "M" 22 1 0 0 0 0.5 0.507078507078507 -0.5 -0.49034749034749 2.31274131274131 -0.396396396396398 "Older" 0.5 0.464607464607465
"SP_P14_L2R2" 11 "Short" "Pred" 3 52 "M" 22 0 1 0 1 -0.5 -0.492921492921493 0.5 0.50965250965251 2.31274131274131 -0.396396396396398 "Older" 0.5 0.464607464607465
"SP_P14_L2R2" 12 "Short" "NPred" 5 52 "M" 22 0 1 0 1 -0.5 -0.492921492921493 -0.5 -0.49034749034749 2.31274131274131 -0.396396396396398 "Older" 0.5 0.464607464607465
"SP_P15_L3R2" 2 "Short" "Pred" 12 58 "M" 26 1 0 0 0 -0.5 -0.492921492921493 0.5 0.50965250965251 8.31274131274131 3.6036036036036 "Older" 0.5 0.464607464607465
"SP_P15_L3R2" 3 "Short" "NPred" 16 58 "M" 26 1 0 1 0 -0.5 -0.492921492921493 -0.5 -0.49034749034749 8.31274131274131 3.6036036036036 "Older" 0.5 0.464607464607465
"SP_P15_L3R2" 4 "Long" "NPred" 6 58 "M" 26 0 0 0 1 0.5 0.507078507078507 -0.5 -0.49034749034749 8.31274131274131 3.6036036036036 "Older" 0.5 0.464607464607465
"SP_P15_L3R2" 5 "Long" "Pred" 5 58 "M" 26 0 1 0 0 0.5 0.507078507078507 0.5 0.50965250965251 8.31274131274131 3.6036036036036 "Older" 0.5 0.464607464607465
"SP_P15_L3R2" 6 "Short" "Pred" 2 58 "M" 26 1 0 0 0 -0.5 -0.492921492921493 0.5 0.50965250965251 8.31274131274131 3.6036036036036 "Older" 0.5 0.464607464607465
"SP_P15_L3R2" 7 "Short" "NPred" 10 58 "M" 26 0 1 0 0 -0.5 -0.492921492921493 -0.5 -0.49034749034749 8.31274131274131 3.6036036036036 "Older" 0.5 0.464607464607465
"SP_P15_L3R2" 8 "Long" "Pred" 8 58 "M" 26 1 0 1 0 0.5 0.507078507078507 0.5 0.50965250965251 8.31274131274131 3.6036036036036 "Older" 0.5 0.464607464607465
"SP_P15_L3R2" 9 "Short" "NPred" 11 58 "M" 26 0 0 0 1 -0.5 -0.492921492921493 -0.5 -0.49034749034749 8.31274131274131 3.6036036036036 "Older" 0.5 0.464607464607465
"SP_P15_L3R2" 10 "Long" "NPred" 7 58 "M" 26 0 0 1 0 0.5 0.507078507078507 -0.5 -0.49034749034749 8.31274131274131 3.6036036036036 "Older" 0.5 0.464607464607465
"SP_P15_L3R2" 11 "Long" "NPred" 3 58 "M" 26 0 0 0 1 0.5 0.507078507078507 -0.5 -0.49034749034749 8.31274131274131 3.6036036036036 "Older" 0.5 0.464607464607465
"SP_P15_L3R2" 12 "Short" "Pred" 9 58 "M" 26 0 1 0 0 -0.5 -0.492921492921493 0.5 0.50965250965251 8.31274131274131 3.6036036036036 "Older" 0.5 0.464607464607465
"SP_P16_L4R2" 1 "Long" "NPred" 9 45 "F" 20 1 0 0 0 0.5 0.507078507078507 -0.5 -0.49034749034749 -4.68725868725869 -2.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P16_L4R2" 2 "Long" "Pred" 11 45 "F" 20 1 0 0 0 0.5 0.507078507078507 0.5 0.50965250965251 -4.68725868725869 -2.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P16_L4R2" 3 "Long" "Pred" 16 45 "F" 20 0 0 1 0 0.5 0.507078507078507 0.5 0.50965250965251 -4.68725868725869 -2.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P16_L4R2" 4 "Long" "NPred" 12 45 "F" 20 0 0 1 0 0.5 0.507078507078507 -0.5 -0.49034749034749 -4.68725868725869 -2.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P16_L4R2" 5 "Short" "NPred" 3 45 "F" 20 0 1 0 0 -0.5 -0.492921492921493 -0.5 -0.49034749034749 -4.68725868725869 -2.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P16_L4R2" 6 "Long" "Pred" 10 45 "F" 20 0 0 1 1 0.5 0.507078507078507 0.5 0.50965250965251 -4.68725868725869 -2.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P16_L4R2" 7 "Long" "NPred" 2 45 "F" 20 1 1 0 0 0.5 0.507078507078507 -0.5 -0.49034749034749 -4.68725868725869 -2.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P16_L4R2" 8 "Short" "NPred" 6 45 "F" 20 1 0 0 0 -0.5 -0.492921492921493 -0.5 -0.49034749034749 -4.68725868725869 -2.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P16_L4R2" 9 "Short" "Pred" 15 45 "F" 20 0 0 0 1 -0.5 -0.492921492921493 0.5 0.50965250965251 -4.68725868725869 -2.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P16_L4R2" 10 "Short" "NPred" 7 45 "F" 20 1 0 0 0 -0.5 -0.492921492921493 -0.5 -0.49034749034749 -4.68725868725869 -2.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P16_L4R2" 11 "Short" "Pred" 8 45 "F" 20 1 0 0 0 -0.5 -0.492921492921493 0.5 0.50965250965251 -4.68725868725869 -2.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P16_L4R2" 12 "Short" "Pred" 5 45 "F" 20 0 0 1 1 -0.5 -0.492921492921493 0.5 0.50965250965251 -4.68725868725869 -2.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P17_L1R1" 2 "Short" "Pred" 10 51 "F" 32 0 0 0 1 -0.5 -0.492921492921493 0.5 0.50965250965251 1.31274131274131 9.6036036036036 "Older" 0.5 0.464607464607465
"SP_P17_L1R1" 3 "Long" "Pred" 7 51 "F" 32 1 0 0 0 0.5 0.507078507078507 0.5 0.50965250965251 1.31274131274131 9.6036036036036 "Older" 0.5 0.464607464607465
"SP_P17_L1R1" 4 "Short" "Pred" 16 51 "F" 32 0 0 0 1 -0.5 -0.492921492921493 0.5 0.50965250965251 1.31274131274131 9.6036036036036 "Older" 0.5 0.464607464607465
"SP_P17_L1R1" 6 "Short" "NPred" 12 51 "F" 32 1 0 1 0 -0.5 -0.492921492921493 -0.5 -0.49034749034749 1.31274131274131 9.6036036036036 "Older" 0.5 0.464607464607465
"SP_P17_L1R1" 7 "Short" "Pred" 11 51 "F" 32 0 0 0 0 -0.5 -0.492921492921493 0.5 0.50965250965251 1.31274131274131 9.6036036036036 "Older" 0.5 0.464607464607465
"SP_P17_L1R1" 8 "Long" "Pred" 3 51 "F" 32 0 0 1 0 0.5 0.507078507078507 0.5 0.50965250965251 1.31274131274131 9.6036036036036 "Older" 0.5 0.464607464607465
"SP_P17_L1R1" 9 "Long" "Pred" 6 51 "F" 32 0 0 0 1 0.5 0.507078507078507 0.5 0.50965250965251 1.31274131274131 9.6036036036036 "Older" 0.5 0.464607464607465
"SP_P17_L1R1" 10 "Short" "NPred" 2 51 "F" 32 1 0 0 0 -0.5 -0.492921492921493 -0.5 -0.49034749034749 1.31274131274131 9.6036036036036 "Older" 0.5 0.464607464607465
"SP_P17_L1R1" 11 "Long" "NPred" 5 51 "F" 32 0 0 0 1 0.5 0.507078507078507 -0.5 -0.49034749034749 1.31274131274131 9.6036036036036 "Older" 0.5 0.464607464607465
"SP_P17_L1R1" 12 "Long" "NPred" 15 51 "F" 32 1 0 0 1 0.5 0.507078507078507 -0.5 -0.49034749034749 1.31274131274131 9.6036036036036 "Older" 0.5 0.464607464607465
"SP_P18_L2R1" 1 "Short" "Pred" 7 45 "M" 24 0 0 1 0 -0.5 -0.492921492921493 0.5 0.50965250965251 -4.68725868725869 1.6036036036036 "Younger" -0.5 -0.535392535392535
"SP_P18_L2R1" 2 "Short" "NPred" 8 45 "M" 24 0 0 1 0 -0.5 -0.492921492921493 -0.5 -0.49034749034749 -4.68725868725869 1.6036036036036 "Younger" -0.5 -0.535392535392535
"SP_P18_L2R1" 3 "Long" "Pred" 2 45 "M" 24 0 0 0 1 0.5 0.507078507078507 0.5 0.50965250965251 -4.68725868725869 1.6036036036036 "Younger" -0.5 -0.535392535392535
"SP_P18_L2R1" 4 "Long" "Pred" 9 45 "M" 24 1 0 0 0 0.5 0.507078507078507 0.5 0.50965250965251 -4.68725868725869 1.6036036036036 "Younger" -0.5 -0.535392535392535
"SP_P18_L2R1" 5 "Short" "Pred" 6 45 "M" 24 1 1 0 0 -0.5 -0.492921492921493 0.5 0.50965250965251 -4.68725868725869 1.6036036036036 "Younger" -0.5 -0.535392535392535
"SP_P18_L2R1" 6 "Short" "Pred" 3 45 "M" 24 0 1 0 1 -0.5 -0.492921492921493 0.5 0.50965250965251 -4.68725868725869 1.6036036036036 "Younger" -0.5 -0.535392535392535
"SP_P18_L2R1" 7 "Long" "NPred" 11 45 "M" 24 1 0 0 0 0.5 0.507078507078507 -0.5 -0.49034749034749 -4.68725868725869 1.6036036036036 "Younger" -0.5 -0.535392535392535
"SP_P18_L2R1" 8 "Short" "NPred" 15 45 "M" 24 0 0 1 0 -0.5 -0.492921492921493 -0.5 -0.49034749034749 -4.68725868725869 1.6036036036036 "Younger" -0.5 -0.535392535392535
"SP_P18_L2R1" 9 "Short" "NPred" 5 45 "M" 24 0 0 1 0 -0.5 -0.492921492921493 -0.5 -0.49034749034749 -4.68725868725869 1.6036036036036 "Younger" -0.5 -0.535392535392535
"SP_P18_L2R1" 10 "Long" "NPred" 16 45 "M" 24 1 0 0 0 0.5 0.507078507078507 -0.5 -0.49034749034749 -4.68725868725869 1.6036036036036 "Younger" -0.5 -0.535392535392535
"SP_P18_L2R1" 11 "Long" "Pred" 12 45 "M" 24 1 0 0 1 0.5 0.507078507078507 0.5 0.50965250965251 -4.68725868725869 1.6036036036036 "Younger" -0.5 -0.535392535392535
"SP_P18_L2R1" 12 "Long" "NPred" 10 45 "M" 24 0 0 1 0 0.5 0.507078507078507 -0.5 -0.49034749034749 -4.68725868725869 1.6036036036036 "Younger" -0.5 -0.535392535392535
"SP_P19_L3R1" 1 "Short" "Pred" 2 45 "M" 23 1 0 0 0 -0.5 -0.492921492921493 0.5 0.50965250965251 -4.68725868725869 0.603603603603602 "Younger" -0.5 -0.535392535392535
"SP_P19_L3R1" 2 "Short" "NPred" 10 45 "M" 23 0 0 0 0 -0.5 -0.492921492921493 -0.5 -0.49034749034749 -4.68725868725869 0.603603603603602 "Younger" -0.5 -0.535392535392535
"SP_P19_L3R1" 3 "Short" "NPred" 11 45 "M" 23 1 0 0 0 -0.5 -0.492921492921493 -0.5 -0.49034749034749 -4.68725868725869 0.603603603603602 "Younger" -0.5 -0.535392535392535
"SP_P19_L3R1" 4 "Long" "Pred" 15 45 "M" 23 0 0 0 1 0.5 0.507078507078507 0.5 0.50965250965251 -4.68725868725869 0.603603603603602 "Younger" -0.5 -0.535392535392535
"SP_P19_L3R1" 5 "Short" "NPred" 16 45 "M" 23 0 0 0 1 -0.5 -0.492921492921493 -0.5 -0.49034749034749 -4.68725868725869 0.603603603603602 "Younger" -0.5 -0.535392535392535
"SP_P19_L3R1" 6 "Long" "NPred" 6 45 "M" 23 0 0 0 1 0.5 0.507078507078507 -0.5 -0.49034749034749 -4.68725868725869 0.603603603603602 "Younger" -0.5 -0.535392535392535
"SP_P19_L3R1" 7 "Long" "Pred" 8 45 "M" 23 1 0 0 0 0.5 0.507078507078507 0.5 0.50965250965251 -4.68725868725869 0.603603603603602 "Younger" -0.5 -0.535392535392535
"SP_P19_L3R1" 8 "Long" "NPred" 7 45 "M" 23 1 0 0 0 0.5 0.507078507078507 -0.5 -0.49034749034749 -4.68725868725869 0.603603603603602 "Younger" -0.5 -0.535392535392535
"SP_P19_L3R1" 9 "Long" "NPred" 3 45 "M" 23 0 0 1 0 0.5 0.507078507078507 -0.5 -0.49034749034749 -4.68725868725869 0.603603603603602 "Younger" -0.5 -0.535392535392535
"SP_P19_L3R1" 10 "Short" "Pred" 9 45 "M" 23 0 0 0 1 -0.5 -0.492921492921493 0.5 0.50965250965251 -4.68725868725869 0.603603603603602 "Younger" -0.5 -0.535392535392535
"SP_P19_L3R1" 11 "Long" "Pred" 5 45 "M" 23 0 0 0 1 0.5 0.507078507078507 0.5 0.50965250965251 -4.68725868725869 0.603603603603602 "Younger" -0.5 -0.535392535392535
"SP_P19_L3R1" 12 "Short" "Pred" 12 45 "M" 23 0 0 1 0 -0.5 -0.492921492921493 0.5 0.50965250965251 -4.68725868725869 0.603603603603602 "Younger" -0.5 -0.535392535392535
"SP_P2_L2R1" 1 "Short" "Pred" 7 53 "M" 20 0 0 0 0 -0.5 -0.492921492921493 0.5 0.50965250965251 3.31274131274131 -2.3963963963964 "Older" 0.5 0.464607464607465
"SP_P2_L2R1" 2 "Short" "NPred" 8 53 "M" 20 1 0 0 0 -0.5 -0.492921492921493 -0.5 -0.49034749034749 3.31274131274131 -2.3963963963964 "Older" 0.5 0.464607464607465
"SP_P2_L2R1" 3 "Long" "Pred" 2 53 "M" 20 0 0 0 0 0.5 0.507078507078507 0.5 0.50965250965251 3.31274131274131 -2.3963963963964 "Older" 0.5 0.464607464607465
"SP_P2_L2R1" 4 "Long" "Pred" 9 53 "M" 20 0 0 0 0 0.5 0.507078507078507 0.5 0.50965250965251 3.31274131274131 -2.3963963963964 "Older" 0.5 0.464607464607465
"SP_P2_L2R1" 5 "Short" "Pred" 6 53 "M" 20 0 1 0 0 -0.5 -0.492921492921493 0.5 0.50965250965251 3.31274131274131 -2.3963963963964 "Older" 0.5 0.464607464607465
"SP_P2_L2R1" 6 "Short" "Pred" 3 53 "M" 20 0 1 0 0 -0.5 -0.492921492921493 0.5 0.50965250965251 3.31274131274131 -2.3963963963964 "Older" 0.5 0.464607464607465
"SP_P2_L2R1" 7 "Long" "NPred" 11 53 "M" 20 1 1 0 0 0.5 0.507078507078507 -0.5 -0.49034749034749 3.31274131274131 -2.3963963963964 "Older" 0.5 0.464607464607465
"SP_P2_L2R1" 9 "Short" "NPred" 5 53 "M" 20 0 0 0 0 -0.5 -0.492921492921493 -0.5 -0.49034749034749 3.31274131274131 -2.3963963963964 "Older" 0.5 0.464607464607465
"SP_P2_L2R1" 10 "Long" "NPred" 16 53 "M" 20 0 1 0 0 0.5 0.507078507078507 -0.5 -0.49034749034749 3.31274131274131 -2.3963963963964 "Older" 0.5 0.464607464607465
"SP_P2_L2R1" 11 "Long" "Pred" 12 53 "M" 20 0 0 0 1 0.5 0.507078507078507 0.5 0.50965250965251 3.31274131274131 -2.3963963963964 "Older" 0.5 0.464607464607465
"SP_P2_L2R1" 12 "Long" "NPred" 10 53 "M" 20 0 0 0 1 0.5 0.507078507078507 -0.5 -0.49034749034749 3.31274131274131 -2.3963963963964 "Older" 0.5 0.464607464607465
"SP_P20_L4R1" 1 "Long" "NPred" 2 56 "F" 28 1 1 0 0 0.5 0.507078507078507 -0.5 -0.49034749034749 6.31274131274131 5.6036036036036 "Older" 0.5 0.464607464607465
"SP_P20_L4R1" 2 "Short" "NPred" 7 56 "F" 28 0 1 0 0 -0.5 -0.492921492921493 -0.5 -0.49034749034749 6.31274131274131 5.6036036036036 "Older" 0.5 0.464607464607465
"SP_P20_L4R1" 4 "Long" "Pred" 16 56 "F" 28 0 0 0 1 0.5 0.507078507078507 0.5 0.50965250965251 6.31274131274131 5.6036036036036 "Older" 0.5 0.464607464607465
"SP_P20_L4R1" 5 "Short" "Pred" 15 56 "F" 28 0 0 1 0 -0.5 -0.492921492921493 0.5 0.50965250965251 6.31274131274131 5.6036036036036 "Older" 0.5 0.464607464607465
"SP_P20_L4R1" 7 "Long" "NPred" 9 56 "F" 28 0 0 0 0 0.5 0.507078507078507 -0.5 -0.49034749034749 6.31274131274131 5.6036036036036 "Older" 0.5 0.464607464607465
"SP_P20_L4R1" 9 "Short" "NPred" 6 56 "F" 28 0 0 0 1 -0.5 -0.492921492921493 -0.5 -0.49034749034749 6.31274131274131 5.6036036036036 "Older" 0.5 0.464607464607465
