"PartID" "Trial" "VerbType" "Item" "Age" "Gender" "EV" "Distractor" "Subject" "Agent" "Patient" "PC" "PCC" "AC" "EVC"
"P14_LBR1_C" 2 "Pred" 12 46 "M" 30 0 0 0 0 0.5 0.515151515151515 -4.44318181818182 5.98863636363636
"P14_LBR1_C" 3 "NPred" 7 46 "M" 30 0 0 0 0 -0.5 -0.484848484848485 -4.44318181818182 5.98863636363636
"P14_LBR1_C" 4 "NPred" 15 46 "M" 30 0 0 0 0 -0.5 -0.484848484848485 -4.44318181818182 5.98863636363636
"P14_LBR1_C" 5 "Pred" 6 46 "M" 30 0 1 0 1 0.5 0.515151515151515 -4.44318181818182 5.98863636363636
"P14_LBR1_C" 6 "Pred" 3 46 "M" 30 0 0 1 0 0.5 0.515151515151515 -4.44318181818182 5.98863636363636
"P14_LBR1_C" 7 "Pred" 16 46 "M" 30 0 0 0 0 0.5 0.515151515151515 -4.44318181818182 5.98863636363636
"P14_LBR1_C" 8 "NPred" 5 46 "M" 30 0 0 0 1 -0.5 -0.484848484848485 -4.44318181818182 5.98863636363636
"P14_LBR1_C" 9 "NPred" 9 46 "M" 30 0 0 0 0 -0.5 -0.484848484848485 -4.44318181818182 5.98863636363636
"P14_LBR1_C" 10 "Pred" 10 46 "M" 30 0 0 0 0 0.5 0.515151515151515 -4.44318181818182 5.98863636363636
"P14_LBR1_C" 11 "Pred" 8 46 "M" 30 0 0 0 0 0.5 0.515151515151515 -4.44318181818182 5.98863636363636
"P14_LBR1_C" 12 "NPred" 11 46 "M" 30 0 0 0 0 -0.5 -0.484848484848485 -4.44318181818182 5.98863636363636
"P15_LAR2_C" 1 "Pred" 9 43 "F" 19 1 0 0 0 0.5 0.515151515151515 -7.44318181818182 -5.01136363636364
"P15_LAR2_C" 2 "NPred" 6 43 "F" 19 0 0 0 0 -0.5 -0.484848484848485 -7.44318181818182 -5.01136363636364
"P15_LAR2_C" 3 "NPred" 10 43 "F" 19 1 0 0 0 -0.5 -0.484848484848485 -7.44318181818182 -5.01136363636364
"P15_LAR2_C" 4 "NPred" 16 43 "F" 19 0 0 1 0 -0.5 -0.484848484848485 -7.44318181818182 -5.01136363636364
"P15_LAR2_C" 5 "Pred" 11 43 "F" 19 1 0 0 0 0.5 0.515151515151515 -7.44318181818182 -5.01136363636364
"P15_LAR2_C" 7 "NPred" 8 43 "F" 19 0 0 1 0 -0.5 -0.484848484848485 -7.44318181818182 -5.01136363636364
"P15_LAR2_C" 9 "NPred" 3 43 "F" 19 0 0 0 0 -0.5 -0.484848484848485 -7.44318181818182 -5.01136363636364
"P15_LAR2_C" 10 "Pred" 7 43 "F" 19 0 0 0 0 0.5 0.515151515151515 -7.44318181818182 -5.01136363636364
"P15_LAR2_C" 11 "NPred" 12 43 "F" 19 0 0 1 0 -0.5 -0.484848484848485 -7.44318181818182 -5.01136363636364
"P15_LAR2_C" 12 "Pred" 5 43 "F" 19 0 1 1 0 0.5 0.515151515151515 -7.44318181818182 -5.01136363636364
"P16_LBR2_C" 1 "NPred" 9 51 "M" 18 0 0 1 0 -0.5 -0.484848484848485 0.55681818181818 -6.01136363636364
"P16_LBR2_C" 2 "NPred" 7 51 "M" 18 0 0 1 0 -0.5 -0.484848484848485 0.55681818181818 -6.01136363636364
"P16_LBR2_C" 3 "NPred" 15 51 "M" 18 0 0 1 0 -0.5 -0.484848484848485 0.55681818181818 -6.01136363636364
"P16_LBR2_C" 4 "Pred" 8 51 "M" 18 0 0 1 0 0.5 0.515151515151515 0.55681818181818 -6.01136363636364
"P16_LBR2_C" 5 "Pred" 16 51 "M" 18 0 1 0 1 0.5 0.515151515151515 0.55681818181818 -6.01136363636364
"P16_LBR2_C" 6 "Pred" 12 51 "M" 18 0 1 0 1 0.5 0.515151515151515 0.55681818181818 -6.01136363636364
"P16_LBR2_C" 7 "NPred" 2 51 "M" 18 0 0 0 1 -0.5 -0.484848484848485 0.55681818181818 -6.01136363636364
"P16_LBR2_C" 8 "Pred" 3 51 "M" 18 0 0 0 0 0.5 0.515151515151515 0.55681818181818 -6.01136363636364
"P16_LBR2_C" 9 "Pred" 6 51 "M" 18 1 0 0 0 0.5 0.515151515151515 0.55681818181818 -6.01136363636364
